t_s,x,y,heading,bump,bump_strength,energy,hunger,arousal,spikes,active,drive_l,drive_r,kc,kc_active,mbon,cx,modulation,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,da_max,elig_mean,depressed,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,on_food,on_hazard
0.005,0.01634914241731167,0.0073094856925308704,0.0,0.03249419912204319,0.8567225186222773,0.9374000000000091,0.06259999999999089,0.0,24,23,1.0,1.0,0.0,0,0.0,6.0,1.4935862964193802e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024777820333838463,0.0,0.030203819274902344,0.07864821605229062,0.07851961340444717,0.03389257937669754,0.03381420547763507,0.0,0.0,0.0,False,False
0.01,0.01577470265328884,0.0069918157532811165,-0.0013030660338699818,-0.4390204439827727,0.6937084743660463,0.9373000000000091,0.06269999999999087,0.0,25,25,1.0,1.0,0.0,0,0.0,9.0,6.044402198313037e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0484958253800869,0.0,0.030203819274902344,0.07867340506799451,0.07853856558538906,0.033873229598005615,0.03379701791952054,0.0,0.0,0.0,False,False
0.015,0.024792665615677834,0.00037806088221259415,-0.005692912265658379,-0.3434531440462666,0.7850786759185182,0.9372000000000091,0.06279999999999086,0.0,146,142,1.0,1.0,0.0,0,0.0,15.0,0.00018240213103126734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07118252664804459,0.0,0.030203819274902344,0.07855465306372626,0.07841642595827512,0.033829452780385814,0.03375731408596039,0.0,0.0,0.047409191131591796,False,False
0.02,0.026384178549051285,-0.06114291772246361,-0.010462919250130653,-0.5085122750763231,0.9137098088588667,0.9371000000000091,0.06289999999999085,0.0,101,99,1.0,1.0,0.0,0,0.0,19.0,0.00044717753189615905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09286575764417648,0.0,0.030203819274902344,0.07853832921261522,0.07838892734671567,0.03380779176950455,0.03374133414278428,0.0,0.0,0.015610278844833375,False,False
0.025,0.041494183242321014,-0.04956218600273132,-0.015626100823283195,-0.3080573812868786,0.8759722414911076,0.9370000000000092,0.06299999999999084,0.0,74,72,1.0,1.0,0.0,0,0.0,13.0,0.0004837311280425638,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11357271671295166,0.0,0.030203819274902344,0.07857590440381251,0.07841698211431437,0.03379473462700844,0.03373260299364726,0.0,0.0,0.014868221282958985,False,False
0.03,0.0798354372382164,-0.056111376732587814,-0.024182772263884544,0.20794075051329006,0.8858827272666756,0.9369000000000092,0.06309999999999083,0.0,56,53,1.0,1.0,0.0,0,0.0,17.0,0.0004997313371859491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13332995772361755,0.0,0.030203819274902344,0.07880017210108471,0.07860478981087538,0.03372345585376024,0.03367132352044185,0.0,0.0,0.013366804122924805,False,False
0.035,0.1021033227443695,-0.030337922275066376,0.0015011284267529845,-0.019042809728712026,0.9097653881284872,0.9368000000000092,0.06319999999999082,0.0,78,78,1.0,1.0,0.0,0,0.0,18.0,0.0005202644970268011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15216343104839325,0.0,0.030203819274902344,0.07890034984083158,0.07874602466386986,0.033700536005198956,0.033633094280958176,0.0,0.0,0.015597963333129882,False,False
0.04,0.1354011595249176,-0.04271065443754196,0.0027228877879679203,-0.44975019465839755,0.9999999999999999,0.9367000000000092,0.06329999999999081,0.0,73,73,1.0,1.0,0.0,0,0.0,15.0,0.000604900938924402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1700984686613083,0.0,0.030203819274902344,0.0790931336656206,0.07892831784486704,0.03363649205615123,0.03357337787747383,0.0,0.0,0.014239575862884522,False,False
0.045,0.1748640537261963,-0.07109584659337997,0.0016053031431511045,-0.2309825979641743,0.7643279197369065,0.9366000000000092,0.0633999999999908,0.0,87,86,1.0,1.0,0.0,0,0.0,20.0,0.0007603441481478512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18715983629226685,0.0,0.030203819274902344,0.07933547272564155,0.07914704974461279,0.03355960361659527,0.03350338743378719,0.0,0.0,0.018196372985839846,False,False
0.05,0.21133312582969666,-0.06159891560673714,0.01044126134365797,-1.1169938207823422,0.3462768778300156,0.9365000000000092,0.06349999999999079,0.0,119,119,1.0,1.0,0.0,0,0.0,29.0,0.0009489618823863566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20337167382240295,0.0,0.030203819274902344,0.07953204482669564,0.07934581264667144,0.03350385775168737,0.033445969844857856,0.0,0.0,0.027307393550872805,False,False
0.055,0.26300671696662903,-0.07437242567539215,0.015311126597225666,-1.0877319496792428,0.1297823225754287,0.9364000000000092,0.06359999999999078,0.0,132,132,1.0,1.0,0.0,0,0.0,7.0,0.0011618988355621696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21875758469104767,0.0,0.030203819274902344,0.0798203395213925,0.07962106856051765,0.03342189981291692,0.03336643955359857,0.0,0.0,0.0175835657119751,False,False
0.06,0.3327692151069641,-0.09355872124433517,0.007600321900099516,-0.6648473530333495,0.3828330603930063,0.9363000000000092,0.06369999999999076,0.0,128,128,1.0,1.0,0.0,0,0.0,6.0,0.001621456816792488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.233652725815773,0.0,0.030203819274902344,0.08016769436870944,0.07992870654041499,0.033313948661088943,0.03327247221022844,0.0,0.0,0.013127149343490602,False,False
0.065,0.4171038269996643,-0.0556020587682724,0.010676970705389977,-0.46904752322308635,0.81671694704352,0.9362000000000092,0.06379999999999075,0.0,135,132,1.0,1.0,0.0,0,0.0,13.0,0.001703424844890833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24778775870800018,0.0,0.030203819274902344,0.08059962858942578,0.0803298487700515,0.03318896051496267,0.033150751454134784,0.0,0.0,0.00876008152961731,False,False
0.07,0.5383225083351135,-0.03472978621721268,0.031570691615343094,-0.14792096610683428,0.8072048587570599,0.9361000000000093,0.06389999999999074,0.0,143,143,1.0,1.0,0.0,0,0.0,10.0,0.00191462691873312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2614630162715912,0.0,0.030203819274902344,0.08105530810542334,0.08076569801196386,0.033014023986955486,0.032967374039193,0.0,0.0,0.024215495586395262,False,False
0.075,0.6208437085151672,-0.037252027541399,0.020403623580932617,-0.6901196260589713,0.9503088231361106,0.9360000000000093,0.06399999999999073,0.0,212,211,1.3333333333333333,0.6666666666666667,0.0,0,0.0,5.0,0.0021349212620407343,0.0,8.333333333333332,0.0,0.0,0.0,0.41666666666666663,1.0,0.27441075444221497,0.0,0.030203819274902344,0.08144277697615254,0.08107443440426071,0.032857287054260574,0.03282471870382627,0.0,0.0,0.03678342580795289,False,False
0.08,0.595326840877533,-0.05152875930070877,0.011352438479661942,-0.35764734903742945,0.8308450818848888,0.9359000000000093,0.06409999999999072,0.0,209,204,1.3055555555555556,0.6944444444444444,0.0,0,2.0,4.0,0.0024021153803914785,0.0,7.6388888888888875,0.0,0.0,0.0,0.38194444444444436,1.0,0.287288635969162,0.0,0.030203819274902344,0.08154029267529576,0.08115665189921785,0.03286218425879876,0.03283333809425434,0.0,0.0,0.02149482727050781,False,False
0.085,0.5488713383674622,-0.04803742095828056,-0.02721455879509449,0.020965953946002133,0.8148159630572385,0.9358000000000093,0.06419999999999071,0.0,162,161,1.5,0.3865740740740742,0.0,0,1.0,9.0,0.0026299713645130396,0.0,15.335648148148145,0.0,0.0,0.0,0.7667824074074072,1.0,0.29944050312042236,0.0,0.030203819274902344,0.08142112545203348,0.08097707235626807,0.03292241754631202,0.032914408172170326,0.0,0.0,0.021780426502227786,False,False
0.09,0.5731289982795715,0.010024928487837315,-0.04847119003534317,-0.35537411604100483,1.0,0.9357000000000093,0.0642999999999907,0.0,194,192,1.2289737654320987,0.7710262345679013,0.0,0,2.0,9.0,0.003000833559781313,8.333333333333332,14.057677469135799,0.0,0.0,0.0,0.2862172067901233,1.0,0.3112296462059021,0.0,0.030203819274902344,0.08170465022884238,0.08120035186596145,0.032880958169698715,0.03288724925369024,0.0,0.0,0.01715893864631653,False,False
0.095,0.630329966545105,0.017984287813305855,-0.0955272763967514,-0.2676977430934297,0.7674899482906429,0.9356000000000093,0.06439999999999069,0.0,199,196,1.2098926183127572,0.7901073816872428,0.0,0,1.0,11.0,0.003231762908399105,7.6388888888888875,12.886204346707816,0.0,0.0,0.0,0.2623657728909464,1.0,0.32267501950263977,0.0,0.030203819274902344,0.08210614079081692,0.0814773886979861,0.03278031013906002,0.03282281414916118,0.0,0.0,0.019491748809814455,False,False
0.1,0.7284535765647888,0.0326046347618103,-0.09816189855337143,-0.07254005083303038,0.7842119765180707,0.9355000000000093,0.06449999999999068,0.0,180,177,0.5257349001200273,1.4742650998799727,0.0,0,0.0,7.0,0.003437201725319028,23.668981481481477,11.812353984482163,0.0,0.0,0.0,-0.5928313748499657,1.0,0.33344578742980957,0.0,0.030203819274902344,0.08270785538479614,0.08202892079576779,0.03264481822649638,0.032701597859462105,0.0,0.0,0.013877018690109252,False,False
0.105,0.8360618352890015,0.04510829597711563,-0.08496064692735672,-0.23125681262382305,0.7495614606416572,0.9354000000000093,0.06459999999999066,0.0,151,147,0.5652569917766919,1.4347430082233081,0.0,0,0.0,21.0,0.0035920951049774885,21.696566358024686,10.827991152441983,0.0,0.0,0.0,-0.5434287602791351,1.0,0.3435317277908325,0.0,0.030203819274902344,0.08330148607647594,0.08260450713957278,0.03251910364876191,0.032574914706250034,0.0,0.0,0.015405815839767457,False,False
0.11,0.9112343192100525,0.06311497092247009,-0.10489045083522797,-0.44975019465839755,0.9999999999999999,0.9353000000000093,0.06469999999999065,0.0,185,181,0.601485575795301,1.398514424204699,0.0,0,0.0,10.0,0.003667461220175028,19.888519161522627,9.925658556405152,0.0,0.0,0.0,-0.49814303025587375,1.0,0.3530581295490265,0.0,0.030203819274902344,0.08380720601727493,0.08302382300359436,0.03240707330405712,0.032480585699280105,0.0,0.0,0.020820987224578858,False,False
0.115,0.9806073307991028,0.05509680137038231,-0.10010591894388199,-0.29768749373316516,0.9191567043928932,0.9352000000000094,0.06479999999999064,0.0,176,175,0.6346951111456927,1.3653048888543073,0.0,0,0.0,26.0,0.003823445877060294,18.231142564729073,9.098520343371389,0.0,0.0,0.0,-0.4566311110678842,1.0,0.3625277578830719,0.0,0.030203819274902344,0.08432472343370244,0.08350110126938598,0.03228104362885158,0.03235862900813421,0.0,0.0,0.02148021459579468,False,False
0.12,1.031406283378601,0.004937127232551575,-0.07383439689874649,0.0322198778516947,0.5003223889896881,0.9351000000000094,0.06489999999999063,0.0,177,176,0.6651371852168849,1.334862814783115,0.0,0,0.0,23.0,0.00401135953143239,16.711880684334982,8.340310314757106,0.0,0.0,0.0,-0.4185785184788938,1.0,0.3715417683124542,0.0,0.030203819274902344,0.08469000250101015,0.08389232115447448,0.03219892891744773,0.032268292270600796,0.0,0.0,0.016658905744552612,False,False
0.125,1.0964453220367432,-0.034616827964782715,-0.0574166364967823,0.04654941054383994,0.8923124645109249,0.9350000000000094,0.06499999999999062,0.0,282,279,0.6930424197821445,1.3069575802178555,0.0,0,3.0,33.0,0.004599907901138067,15.3192239606404,7.645284455194013,0.0,0.0,0.0,-0.38369697527231933,1.0,0.3801127076148987,0.0,0.030203819274902344,0.0851227854325739,0.08432128691083368,0.032109408639371395,0.03217505601545175,0.0,0.0,0.016476061344146732,False,False
0.13,1.164797306060791,-0.09076360613107681,-0.05713534355163574,-1.0743968044289536,0.2891886075687011,0.9349000000000094,0.06509999999999061,0.0,284,277,0.7186222181336325,1.2813777818663676,0.0,0,2.0,7.0,0.005136439111083746,14.042621963920366,7.008177417261178,0.0,0.0,0.0,-0.3517222273329594,1.0,0.38825276494026184,0.0,0.030203819274902344,0.08546706526540146,0.08462807196192369,0.032011970567206546,0.032084343644479915,0.0,0.0,0.02091380596160889,False,False
0.135,1.2076234817504883,-0.08888440579175949,-0.0651162639260292,-0.7359204051513021,0.8679492080027921,0.9348000000000094,0.0651999999999906,0.0,312,306,0.7420703666224964,1.2579296333775036,0.0,0,4.0,8.0,0.005490354727953672,12.872403466927002,6.424162632489414,0.0,0.0,0.0,-0.3224120417218794,1.0,0.3959738314151764,0.0,0.030203819274902344,0.08572806116441811,0.08484842156525627,0.03194533909360568,0.032027666456997395,0.0,0.0,0.025387792587280272,False,False
0.14,1.2990385293960571,-0.054373785853385925,0.0017356466269120574,-0.3353216872455307,0.9244291938837345,0.9347000000000094,0.06529999999999059,0.0,295,288,0.430231169403955,1.5,1.0,1,1.0,24.0,0.006306050810962915,20.13303651134975,5.888815746448629,0.0,0.0,0.0,-0.7122110382450562,1.0,0.4032875597476959,9.617860996513627e-06,0.030203819274902344,0.08644828573117579,0.08564008997504835,0.03183114187171062,0.031871998993059,0.0,0.0,0.011156786680221558,False,False
0.145,1.487693190574646,-0.05128873512148857,0.02797791175544262,0.07758101016251892,0.8085083143757048,0.9346000000000094,0.06539999999999058,0.0,309,293,0.8110452386202922,1.1889547613797078,4.0,4,6.0,26.0,0.006724529433995485,18.45528346873727,13.731414434244575,0.0,0.0,0.0,-0.23619345172463477,1.0,0.41020533442497253,4.804923082701862e-05,0.030203819274902344,0.08759017035365028,0.08672844563983305,0.03157601847002904,0.031617276060084507,0.0,0.0,0.009288674592971802,False,False
0.15,1.685821533203125,-0.02700285241007805,0.04022525995969772,-0.16290376255331976,0.8941676381357043,0.9345000000000094,0.06549999999999057,0.0,340,335,0.8267914687352678,1.1732085312647322,24.0,24,0.0,19.0,0.0070741381496191025,16.917343179675832,12.587129898057526,0.0,0.0,0.0,-0.2165106640809153,1.0,0.41673824191093445,0.00027867770404554904,0.030203819274902344,0.08873514530062597,0.08776047671958727,0.03128563519567251,0.031334804370999336,0.0,0.0,0.028227949142456056,False,False
0.155,1.7137370109558105,0.024435658007860184,0.01819726824760437,-0.5420838947642377,0.6968596659275708,0.9344000000000094,0.06559999999999055,0.0,389,376,0.5078921796739955,1.4921078203260045,45.0,45,1.0,23.0,0.008295431733131409,23.840897914702843,11.538202406552731,0.0,0.0,0.0,-0.6151347754075056,1.0,0.4228971302509308,0.0007103203097358346,0.030203819274902344,0.08915583443362186,0.08817050280825468,0.03118264333655437,0.03124778469403585,0.0,0.0,0.025787866115570067,False,False
0.16,1.767480492591858,0.06722229719161987,0.02490186132490635,-0.7221863797062275,0.7278800117835378,0.9343000000000095,0.06569999999999054,0.0,338,324,0.2155678313678293,1.5,17.0,17,1.0,28.0,0.008926794864237309,30.18748975514427,10.576685539340003,0.0,0.0,0.0,-0.9805402107902133,1.0,0.4286925494670868,0.000870864256285131,0.030203819274902344,0.08995322996377866,0.08895818603038709,0.03107626922428608,0.03114434890449047,0.0,0.0,0.017349717617034913,False,False
0.165,1.7847493886947632,0.08270818740129471,0.02761078253388405,-0.20331802651689102,0.6135396170045034,0.9342000000000095,0.06579999999999053,0.0,358,349,0.2809371787538435,1.5,3.0,3,2.0,33.0,0.009761624038219452,27.671865608882246,9.695295077728336,0.0,0.0,0.0,-0.8988285265576955,1.0,0.4341348707675934,0.0008960891864262521,0.030203819274902344,0.09031290443334648,0.08927331588572433,0.031050024554133415,0.03110970680912336,0.0,0.0,0.02127687215805054,False,False
0.17,1.7623851299285889,0.10732775926589966,0.05244699865579605,-0.39779829592183164,0.9079323674168858,0.9341000000000095,0.06589999999999052,0.0,390,377,0.19999999999999996,1.5,9.0,9,0.0,21.0,0.010932238772511482,33.69921014147539,8.887353821250974,0.0,0.0,0.0,-1.0,1.0,0.4392341673374176,0.0009789164178073406,0.030203819274902344,0.09050612894756019,0.08954464347039581,0.031066408070425194,0.03110331017524004,0.0,0.0,0.025480282306671143,False,False
0.17500000000000002,1.812192440032959,0.06754954904317856,0.05036409944295883,-0.07377942786714198,0.6111236522905774,0.9340000000000095,0.06599999999999051,0.0,453,438,0.423565268258438,1.5,9.0,9,1.0,25.0,0.011605305597186089,30.890942629685775,16.480074336146725,0.0,0.0,0.0,-0.7205434146769525,1.0,0.4440002739429474,0.0010613981867209077,0.030203819274902344,0.0908093425296239,0.08980686442553919,0.0309926380092899,0.03103027120232582,0.0,0.0,0.05910428524017334,False,False
