t_s,x,y,heading,bump,bump_strength,energy,hunger,arousal,spikes,active,drive_l,drive_r,kc,kc_active,mbon,cx,modulation,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,da_max,elig_mean,depressed,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,on_food,on_hazard
0.005,0.01634914241731167,0.0073094856925308704,0.0,1.0107480332129068,0.9791703653554401,0.793150000000027,0.206849999999973,0.0,12,12,1.0,1.0,0.0,0,0.0,2.0,4.901843908555747e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00020323116041254252,0.0,0.04701513051986694,0.08932586797280037,0.08917980562429675,0.03389257937669754,0.03381420547763507,0.0,0.0,0.0,False,False
0.01,0.01677016168832779,0.007817129604518414,0.0008569490164518356,-0.30467441022343744,0.8578952786145014,0.793050000000027,0.206949999999973,0.0,30,28,1.0,1.0,0.0,0,0.0,10.0,7.029839707684005e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003296183713246137,0.0,0.04701513051986694,0.0893602528505318,0.08921105751752034,0.03387216323365768,0.03379468650867542,0.0,0.0,0.0,False,False
0.015,0.032691579312086105,0.01119436789304018,0.004386930260807276,-0.5013663607323818,0.8830131106793094,0.792950000000027,0.20704999999997298,0.0,148,145,1.0,1.0,0.0,0,0.0,12.0,0.00017378534539602697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003816788666881621,0.0,0.04701513051986694,0.08929569496415977,0.08915118958552479,0.03382226452231407,0.03374369659771522,0.0,0.0,0.06400793552398683,False,False
0.02,0.02290237508714199,0.0169142447412014,-0.007110760547220707,-0.4827213802508843,0.6869092514466475,0.792850000000027,0.20714999999997297,0.0,72,72,1.0,1.0,0.0,0,0.0,11.0,0.00027406273875385523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00037690787576138973,0.0,0.04701513051986694,0.08929967599781032,0.08912927689915326,0.03382305148988962,0.03375099040567875,0.0,0.0,0.012735354900360107,False,False
0.025,0.03932889923453331,0.0029585196170955896,-0.033381443470716476,0.6324577870589996,1.0,0.792750000000027,0.20724999999997296,0.0,56,56,1.0,1.0,0.0,0,0.0,12.0,0.00027871274505741894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003721965185832232,0.0,0.04701513051986694,0.08931075045776664,0.08908005891662513,0.03379575597743194,0.03374089642117421,0.0,0.0,0.01653297781944275,False,False
0.03,0.0526796393096447,-0.012583899311721325,-0.04815206304192543,0.08339033737202944,0.9130488684769716,0.792650000000027,0.20734999999997294,0.0,79,78,1.0,1.0,0.0,0,0.0,13.0,0.00032293132971972227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00036754406755790114,0.0,0.04701513051986694,0.08941056212254911,0.0891400760986512,0.03376029121379058,0.03371765060971181,0.0,0.0,0.016656689643859864,False,False
0.035,0.08272995799779892,0.026261933147907257,-0.039056383073329926,-0.3712577107330228,0.9240756104785469,0.7925500000000271,0.20744999999997293,0.0,110,110,1.0,1.0,0.0,0,0.0,16.0,0.00042246992234140635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003629497659858316,0.0,0.04701513051986694,0.08959584220452033,0.0893370578563752,0.0337199866771698,0.033675916492938995,0.0,0.0,0.01871070384979248,False,False
0.04,0.15572680532932281,0.04212049022316933,-0.044937048107385635,0.3529149347008265,1.0000000000000002,0.7924500000000271,0.20754999999997292,0.0,81,80,1.0,1.0,0.0,0,0.0,10.0,0.0004712189838755876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00035841288627125323,0.0,0.04701513051986694,0.09004834649370162,0.08974637017973189,0.03360027602563302,0.033568309930463634,0.0,0.0,0.01674208164215088,False,False
0.045,0.22094883024692535,0.020187614485621452,-0.05642286315560341,0.08134540697608547,0.8178927277855534,0.7923500000000271,0.2076499999999729,0.0,85,82,1.0,1.0,0.0,0,0.0,19.0,0.000624215230345726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000353932729922235,0.0,0.04701513051986694,0.09041217710527699,0.09005451465987709,0.03349109863241514,0.03347336780279875,0.0,0.0,0.013308281898498536,False,False
0.05,0.21985292434692383,-0.010338615626096725,-0.05856425315141678,-0.24552667582652402,0.8540261853611618,0.7922500000000271,0.2077499999999729,0.0,118,115,1.0,1.0,0.0,0,0.0,26.0,0.0007690076599828899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00034950856934301555,0.0,0.04701513051986694,0.09028659220598437,0.08993832147680023,0.03350364665190379,0.033486741594970226,0.0,0.0,0.01961804509162903,False,False
0.055,0.2868703305721283,-0.06584805995225906,-0.06063437834382057,-1.1279461666795987,0.3148612326081951,0.7921500000000271,0.2078499999999729,0.0,112,111,1.0,1.0,0.0,0,0.0,28.0,0.0009413063526153564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003451397060416639,0.0,0.04701513051986694,0.09060164631111343,0.09022034496922464,0.033396381574372455,0.03338969157387813,0.0,0.0,0.010388988256454467,False,False
0.06,0.40519168972969055,-0.07827579975128174,-0.016201885417103767,-0.8114942184028819,0.6936039728846652,0.7920500000000271,0.20794999999997288,0.0,137,134,1.0,1.0,0.0,0,0.0,17.0,0.0012534215347841382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003408254706300795,0.0,0.04701513051986694,0.09117924254232193,0.09082700324042808,0.03322396116952102,0.03319899862011274,0.0,0.0,0.013450603485107423,False,False
0.065,0.4877297878265381,-0.034373875707387924,0.007282199338078499,-0.03716071222297802,0.8936677759630718,0.7919500000000271,0.20804999999997287,0.0,147,145,1.0,1.0,0.0,0,0.0,8.0,0.0014189296634867787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00033656516461633146,0.0,0.04701513051986694,0.09148479782370646,0.09116424285853077,0.03310110264768203,0.03306548576802015,0.0,0.0,0.022292070388793946,False,False
0.07,0.5084537267684937,0.018361100926995277,0.0027249851264059544,-0.3326374039162177,0.8194850933652017,0.7918500000000271,0.20814999999997286,0.0,181,180,1.0,1.0,0.0,0,0.0,21.0,0.0015562756452709436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003323580895084888,0.0,0.04701513051986694,0.09191596934726877,0.09157650893150314,0.033021820709109306,0.032995957881212234,0.0,0.0,0.025815346240997315,False,False
0.075,0.5667310357093811,0.040337298065423965,0.01929272711277008,-0.05514434279676068,0.6754005877238188,0.7917500000000272,0.20824999999997285,0.0,120,120,1.0,1.0,0.0,0,0.0,13.0,0.0016627911245450377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003282036050222814,0.0,0.04701513051986694,0.09262979929614604,0.09226719588677501,0.03292463719844818,0.03289567306637764,0.0,0.0,0.022399723529815674,False,False
0.08,0.6408666968345642,0.030578117817640305,0.03453213721513748,-0.2529140909148685,0.642606544218942,0.7916500000000272,0.20834999999997283,0.0,175,174,1.0,1.0,0.0,0,0.0,17.0,0.0018692858284339309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003241010708734393,0.0,0.04701513051986694,0.09307433764217214,0.09270721439039128,0.03283253715684017,0.0327968845764796,0.0,0.0,0.03153027057647705,False,False
0.085,0.6838893890380859,0.06115765497088432,0.048516083508729935,0.22672821608191152,0.606134191469383,0.7915500000000272,0.20844999999997282,0.0,153,153,1.0,1.0,0.0,0,0.0,14.0,0.002032705582678318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000320049817673862,0.0,0.04701513051986694,0.09338969278723412,0.09302929133254205,0.032758571517964206,0.03271572602291902,0.0,0.0,0.02325967311859131,False,False
0.09,0.7032927870750427,0.04938722029328346,0.01543524768203497,-0.5644486498960758,0.938950973995381,0.7914500000000272,0.2085499999999728,0.0,154,153,1.0,1.0,0.0,0,0.0,12.0,0.002291632117703557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00031604920513927937,0.0,0.04701513051986694,0.09362409972989101,0.09315448038543676,0.03269404793779056,0.03267470126350721,0.0,0.0,0.01768989086151123,False,False
