release,before,after,on_food,dist,energy,ended
1,0.0,0.030203819274902344,41,74.93179497314435,0.9375000000000091,time
2,0.030203819274902344,0.04753124713897705,60,76.15849798853748,0.8732500000000182,time
3,0.04753124713897705,0.04701513051986694,0,75.72000989158015,0.793250000000027,time
4,0.04701513051986694,0.04644423723220825,0,76.11410311021407,0.7132500000000358,time
