t_s,x,y,heading,energy,spikes,active,drive_l,drive_r,kc,mbon,cx,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,in_vision_l,in_vision_r,on_food,on_hazard
0.065,0.4171038269996643,-0.0556020587682724,0.031570691615343094,0.9987000000000001,972,931,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0757728951672713,0.07551927119493484,0.03318896051496267,0.033150751454134784,0.0,0.0,0.00876008152961731,0.15,0.15,False,False
0.07,0.5383225083351135,-0.03472978621721268,0.020403623580932617,0.9986000000000002,1060,1004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07619412305454414,0.07592188194394112,0.033014023986955486,0.032967374039193,0.0,0.0,0.024215495586395262,0.15,0.15,False,False
0.075,0.6208437085151672,-0.037252027541399,0.01271702442318201,0.9985000000000002,1125,1060,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0765511579811573,0.076204938814044,0.032857287054260574,0.03282471870382627,0.0,0.0,0.03678342580795289,0.15,0.15,False,False
0.08,0.5969499349594116,-0.05119553953409195,-0.022904405370354652,0.9984000000000002,1034,980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07664412260055542,0.07628616876900196,0.03285976126790047,0.032830401323735714,0.0,0.0,0.01859064340591431,0.15,0.15,False,False
0.085,0.5515477061271667,-0.049435511231422424,-0.04076167568564415,0.9983000000000002,992,940,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0765289862950643,0.07611827614406745,0.03291935815165441,0.03290860913693905,0.0,0.0,0.02047794580459595,0.15,0.15,False,False
0.09,0.559955894947052,-0.004306721035391092,-0.07791487872600555,0.9982000000000002,1088,1019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07668566579620044,0.0762313511222601,0.0329032742107908,0.03290249966084957,0.0,0.0,0.02095133066177368,0.15,0.15,False,False
0.095,0.6016570925712585,-0.005423092748969793,-0.07722195237874985,0.9981000000000002,1026,981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07696222513914108,0.07641715928912163,0.03282656117031972,0.032854030529658004,0.0,0.0,0.02198530435562134,0.15,0.15,False,False
0.1,0.6919407844543457,0.015694892033934593,-0.06153587996959686,0.9980000000000002,991,946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07747291587293148,0.07689453351000945,0.03270323388278484,0.032743692087630435,0.0,0.0,0.021682896614074708,0.15,0.15,False,False
0.105,0.809095561504364,0.026791857555508614,-0.07586853206157684,0.9979000000000002,1013,967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07810183179875216,0.07750576051572959,0.03256115596741438,0.032600993290543556,0.0,0.0,0.02060442924499512,0.15,0.15,False,False
0.11,0.893005907535553,0.050464827567338943,-0.07638710737228394,0.9978000000000002,1004,959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07860795594751835,0.07794156670570374,0.03243905492126942,0.03249386170258125,0.0,0.0,0.02036270141601563,0.15,0.15,False,False
0.115,0.9689409732818604,0.04667332395911217,-0.04240678623318672,0.9977000000000003,1051,1003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0791346188634634,0.07841705655058226,0.032301852479577065,0.03236462672551473,0.0,0.0,0.01966542363166809,0.15,0.15,False,False
0.12,1.006162405014038,0.01064691785722971,-0.028591308742761612,0.9976000000000003,1069,1018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07940117580195269,0.07873214160402617,0.0322413444519043,0.032289535738527775,0.0,0.0,0.01685472965240479,0.15,0.15,False,False
0.125,1.0777044296264648,-0.017147738486528397,-0.03607431799173355,0.9975000000000003,1065,1031,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07986465469002724,0.07918326494594416,0.032139845813314125,0.03218573518097401,0.0,0.0,0.01867837429046631,0.15,0.15,False,False
0.13,1.1619256734848022,-0.05974641814827919,-0.04393934831023216,0.9974000000000003,1159,1117,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08027834196885428,0.07953844964504242,0.03201956084618966,0.0320785166695714,0.0,0.0,0.0248964262008667,0.15,0.15,False,False
0.135,1.2018561363220215,-0.05086737498641014,0.009381767362356186,0.9973000000000003,1070,1011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08050922304391861,0.07973227339486282,0.03195479977875948,0.0320225628092885,0.0,0.0,0.030217068195343023,0.15,0.15,False,False
0.14,1.3077248334884644,-0.037330057471990585,0.047507140785455704,0.9972000000000003,1138,1083,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08119153790175915,0.08044850081205368,0.03182097338140011,0.03185794067879518,0.0,0.0,0.015803680419921876,0.15,0.15,False,False
0.145,1.4663006067276,-0.026525434106588364,0.025806648656725883,0.9971000000000003,1168,1113,0.6666666666666667,1.3333333333333333,0.0,2.0,1.0,8.333333333333332,0.0,0.0,0.0,0.0,-0.41666666666666663,1.0,0.08210094956060252,0.08135076612234116,0.03160463646054268,0.031630333202580616,0.0,0.0,0.010646737813949586,0.15,0.15,False,False
0.15,1.643812894821167,0.01517803780734539,0.012568309903144836,0.9970000000000003,1135,1093,0.36111111111111116,1.5,0.0,2.0,0.0,15.97222222222222,0.0,0.0,0.0,0.0,-0.7986111111111109,1.0,0.08301888902982077,0.08213309260706107,0.03133192813644807,0.03138526653250059,0.0,0.0,0.018680958747863772,0.15,0.15,False,False
0.155,1.6892895698547363,0.09671391546726227,0.028439698740839958,0.9969000000000003,1191,1139,0.41435185185185197,1.5,0.0,0.0,2.0,14.6412037037037,0.0,0.0,0.0,0.0,-0.732060185185185,1.0,0.08347862089673679,0.08261129880944888,0.03120924811810255,0.03127568711837133,0.0,0.0,0.04498059272766113,0.15,0.15,False,False
0.16,1.7217090129852295,0.12035878002643585,0.04190020635724068,0.9968000000000004,1185,1141,0.46315586419753096,1.5,0.0,0.0,0.0,13.421103395061724,0.0,0.0,0.0,0.0,-0.6710551697530862,1.0,0.08406478290756544,0.08320285628239314,0.031136244845887028,0.03119917120784521,0.0,0.0,0.023002147674560547,0.15,0.15,False,False
0.165,1.7190988063812256,0.13139323890209198,0.06822504848241806,0.9967000000000004,1211,1152,0.5078928755144034,1.4921071244855966,2.0,0.0,0.0,12.302678112139914,0.0,0.0,0.0,0.0,-0.6151339056069957,1.0,0.08435492403805256,0.08346969882647197,0.03114015484849612,0.031186210302015148,0.0,0.0,0.025566928386688233,0.15,0.15,False,False
0.17,1.690252661705017,0.17697098851203918,0.06919483095407486,0.9966000000000004,1140,1084,0.8822351358882031,1.1177648641117968,9.0,0.0,0.0,11.277454936128253,8.333333333333332,0.0,0.0,0.0,-0.14720608013974604,1.0,0.08451998854676883,0.08371091447770596,0.03116958619405826,0.031192490520576637,0.0,0.0,0.026979022026062012,0.15,0.15,False,False
0.175,1.7823904752731323,0.1638697236776352,0.05347324162721634,0.9965000000000004,1174,1126,0.8920488745641862,1.1079511254358136,11.0,0.0,0.0,10.337667024784231,7.6388888888888875,0.0,0.0,0.0,-0.1349389067947672,1.0,0.08526849560439587,0.08440100587904453,0.03102955718835195,0.03105346268663804,0.0,0.0,0.02637101173400879,0.15,0.15,False,False
0.18,1.8054550886154175,0.16789445281028748,0.0043517169542610645,0.9964000000000004,1220,1159,0.9010448016838374,1.0989551983161627,6.0,0.0,0.0,9.476194772718879,7.002314814814813,0.0,0.0,0.0,-0.12369399789520327,1.0,0.08543280884623528,0.08451166252295177,0.030998860796292625,0.031040126147369545,0.0,0.0,0.04760468006134033,0.15,0.15,False,False
