t_s,x,y,heading,bump,bump_strength,energy,hunger,arousal,spikes,active,drive_l,drive_r,kc,kc_active,mbon,cx,modulation,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,da_max,elig_mean,depressed,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,on_food,on_hazard
0.005,0.01634914241731167,0.0073094856925308704,0.0,-1.0770330700326636,0.8871729360593087,0.8731500000000182,0.1268499999999818,0.0,19,18,1.0,1.0,0.0,0,0.0,2.0,9.005942729345406e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002641199389472604,0.0,0.04753124713897705,0.0834041199406285,0.08326774061502133,0.03389257937669754,0.03381420547763507,0.0,0.0,0.0,False,False
0.01,0.016274288296699524,0.007136078085750341,-0.000963144819252193,-0.3602147151161623,0.8394364488072517,0.8730500000000182,0.1269499999999818,0.0,23,23,1.0,1.0,0.0,0,0.0,4.0,3.4424881505401572e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0050489348359405994,0.0,0.04753124713897705,0.08343237141442042,0.08329013448813796,0.033872394512097045,0.03379617196818193,0.0,0.0,0.0,False,False
0.015,0.03587453439831734,0.008826103061437607,-0.004491667728871107,0.04264993965581849,0.846865703815283,0.8729500000000182,0.1270499999999818,0.0,179,174,1.0,1.0,0.0,0,0.0,12.0,0.00010096104233525693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0072302804328501225,0.0,0.04753124713897705,0.08336949381697788,0.08322140874806656,0.033814781345427036,0.0337434761847059,0.0,0.0,0.06932969570159912,False,False
0.02,0.04658816382288933,-0.0004332038515713066,-0.017446216195821762,0.13543088256447475,0.7895384732254879,0.8728500000000182,0.12714999999998178,0.0,66,66,1.0,1.0,0.0,0,0.0,18.0,0.00012491288362070918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009192139841616154,0.0,0.04753124713897705,0.08349037596226226,0.08330580601484071,0.03378501938035091,0.033723474480211735,0.0,0.0,0.017788919210433962,False,False
0.025,0.07296863943338394,-0.013265115208923817,-0.012201770208775997,-0.407882939986117,0.8278479139329424,0.8727500000000182,0.12724999999998177,0.0,78,76,1.0,1.0,0.0,0,0.0,27.0,0.00013939596829004586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010941249318420887,0.0,0.04753124713897705,0.08356351506492608,0.08338646587605143,0.033756305153171226,0.03369455070545276,0.0,0.0,0.01592491865158081,False,False
0.03,0.1012641042470932,-0.011560458689928055,0.0033815803471952677,-0.5844154082659422,0.3761204504897902,0.8726500000000182,0.12734999999998176,0.0,85,83,1.0,1.0,0.0,0,0.0,18.0,0.0001602464180905372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012484179809689522,0.0,0.04753124713897705,0.08377310917479783,0.08360547178191931,0.033701322972774506,0.0336322421208024,0.0,0.0,0.0205033278465271,False,False
0.035,0.155039981007576,0.001682662172242999,0.011034172959625721,-0.7545965444921461,0.9683924852116591,0.8725500000000183,0.12744999999998174,0.0,69,68,1.0,1.0,0.0,0,0.0,16.0,0.0002896253135986626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013827340677380562,0.0,0.04753124713897705,0.08407890892416724,0.08390355719889689,0.03362202551215887,0.033552964838842556,0.0,0.0,0.014028525352478028,False,False
0.04,0.18325427174568176,0.012389163486659527,0.02075929567217827,-0.10093760597132033,0.949140060572594,0.8724500000000183,0.12754999999998173,0.0,69,69,1.0,1.0,0.0,0,0.0,11.0,0.0003852220834232867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014976986683905125,0.0,0.04753124713897705,0.0842724445057088,0.08410497687384351,0.033577545545995235,0.03350615811844667,0.0,0.0,0.010551444292068482,False,False
0.045,0.2174866944551468,0.029675938189029694,0.04165120795369148,-0.6344086320740531,0.9772609231426175,0.8723500000000183,0.12764999999998172,0.0,64,63,1.0,1.0,0.0,0,0.0,8.0,0.0004577551444526762,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015939217060804367,0.0,0.04753124713897705,0.08453158563747865,0.084387300143017,0.03351328894495964,0.03343490418046713,0.0,0.0,0.014704442024230957,False,False
0.05,0.25491422414779663,0.035851236432790756,0.06087363883852959,-0.7233579277766344,0.8690034907698534,0.8722500000000183,0.1277499999999817,0.0,111,109,1.0,1.0,0.0,0,0.0,15.0,0.0005648627411574125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016719982028007507,0.0,0.04753124713897705,0.0847252805687784,0.084607899055194,0.03345906424025695,0.03337117998550336,0.0,0.0,0.012114778757095337,False,False
0.055,0.2941529154777527,0.019363367930054665,0.027332110330462456,-0.18851066556757376,0.9183801573186912,0.8721500000000183,0.1278499999999817,0.0,97,96,1.0,1.0,0.0,0,0.0,21.0,0.0009013591334223747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017325086519122124,0.0,0.04753124713897705,0.08476936891985298,0.08458593769464504,0.03340809606015682,0.03334204666316509,0.0,0.0,0.01201640009880066,False,False
0.06,0.3307720124721527,0.04626612365245819,-0.04666325822472572,-0.46024642685403033,0.6316796972140281,0.8720500000000183,0.1279499999999817,0.0,101,98,1.0,1.0,0.0,0,0.0,17.0,0.0009290892630815506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01776018925011158,0.0,0.04753124713897705,0.08476490412745488,0.08446406830986826,0.033352336225410305,0.033335505674282714,0.0,0.0,0.015985536575317382,False,False
0.065,0.411709189414978,0.04018146172165871,-0.07530273497104645,-0.4626341832767061,0.9815885800044417,0.8719500000000183,0.12804999999998168,0.0,132,129,1.0,1.0,0.0,0,0.0,22.0,0.0009775067446753383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.018030811101198196,0.0,0.04753124713897705,0.08514793672552193,0.08475000589139,0.033217957243323326,0.033225505612790585,0.0,0.0,0.017540417909622193,False,False
0.07,0.5229983329772949,-0.0794510468840599,-0.06811273843050003,0.688854964784558,0.42272571700072936,0.8718500000000183,0.12814999999998167,0.0,136,134,1.0,1.0,0.0,0,0.0,16.0,0.001139292144216597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01814233511686325,0.0,0.04753124713897705,0.0857719090281351,0.08527527959256606,0.033016211042801544,0.03303430664042632,0.0,0.0,0.028260524272918704,False,False
